Customer Name,State,Product,Units Sold,Unit Price,Total Sale,Sale Date,Sales Channel,Order ID
Kenneth Lewis,osun,Headphones,17,208840.07,3550281.19,16-07-2024,Direct,1edf3bfa-d12e-4eb5-97f4-79b5b212a6ee
Ellen Morgan,Niger,Laptop,98,194792.04,19089619.92,01-04-2024,Online,9033da65-87cf-43fd-9183-6c4f249204c7
Sergio Knight,lagos,Charger,74,92872.47,6872562.78,07-09-2024,Direct,2a038ad4-a667-4982-9c3d-e1b0022b6683
Paula Bradley,Delta,Phone,32,240943.58,7710194.56,14-05-2025,Direct,714011a1-afc2-4cfc-9db7-284b6965d1d1
Paul Wilson,Benue,Camera,72,96409.87,6941510.64,26-03-2025,Online,ca840003-5083-4fef-adec-6bbdf69777a1
Adam Burgess,Osun,Headphones,16,5357.86,85725.76,18-01-2024,Direct,9b5f8f39-848b-44f0-b498-17354d38e415
Scott Williams,Delta,Phone,57,175417.55,9998800.35,27-02-2024,Retail,c8a738ab-0df8-4e12-a56b-61e04ba8a4ca
Brian Smith,Benue,Tablet,91,59259.44,5392609.04,28-02-2025,Wholesale,122dd7be-980b-481e-a359-5d1f7fe4a42e
Ashley Hicks,benue,HEADPHONES,29,101600.5,2946414.5,13-03-2024,Direct,0387f74d-1149-4096-965d-744f0445c1a8
Hannah Luna,Imo,Headphones,26,229126.51,5957289.26,17-07-2024,Wholesale,ec2e2815-0a32-47d2-b73a-edf8431e930f
Joann Glass,Kaduna,Keyboard,71,219965.28,15617534.88,19-03-2025,Online,a3fa4069-1519-4d38-a6fb-a71db3a9dcaa
Madison Weber,Plateau,Headphones,79,105976.76,8372164.04,21-01-2025,Online,271610c1-9db5-4283-89a3-c811895c4fde
Angela Lin,Osun,Phone,74,297101.9,21985540.6,04-09-2024,Retail,6fff15cc-b2dc-4c34-8f67-448e10eceb1f
Julian Conner,Niger,Tablet,83,157421.35,13065972.05,05-06-2025,Wholesale,ecb4678c-1612-4aa6-be96-39ba0ed2ec9d
Jeffrey Mills,Enugu,Monitor,24,2411.96,57887.04,01-11-2023,Online,7f14eafa-29f0-4f7c-82e7-df89b3957a98
George Harper,Niger,TABLET,67,20856.4,1397378.8,19-02-2024,Online,bff15840-207e-463f-9f32-d5d82abe1585
Maria Jones,Lagos,Camera,39,45733.38,1783601.82,15-01-2025,Direct,bba1aed9-44cd-4fdd-9f9b-141ec7f7bda1
Mary Escobar,imo,Keyboard,91,137074.89,12473814.99,05-04-2024,Retail,6de8370a-ce9e-4ebd-95c3-48530783e43c
Gregory Ponce,Osun,Camera,37,18604.81,688377.97,18-06-2024,Online,a0a5fde6-939f-41a2-b99c-ea5cb65ad0f1
Robin Santiago,Sokoto,TABLET,36,273869.06,9859286.16,10-02-2025,Retail,dbff00b0-7fe6-40f3-8e31-41ec5c311464
Christopher Guerra,Borno,Charger,6,150913.7,905482.2,06-02-2024,Wholesale,3979d5f5-6b5b-4975-a7dc-2bc0bd9c4693
Rhonda Martin,Imo,Camera,11,209508.79,2304596.69,25-10-2023,Online,ea75752d-6a8f-4acb-bf8e-2d0d52619dec
Brenda Wright,Benue,Charger,62,76099.25,4718153.5,13-06-2025,Online,74ed5145-8d97-45c7-961d-5c8753c9fe59
Brittany Kim,Borno,CHARGER,8,287809.69,2302477.52,07-01-2024,Retail,ff6ef9ed-7e4c-429f-b8cb-ab4c97790e84
Alfred Galvan,Katsina,Headphones,78,209322.28,16327137.84,23-03-2024,Online,eeb19ad2-01a1-4b0f-a68b-84b63ec0a285
Riley Bryant,Kano,Keyboard,58,113462.29,6580812.82,01-07-2025,Retail,0b3d0c36-17d0-4810-87a2-a10bb62edb49
Taylor Carlson,Borno,Laptop,19,143063.53,2718207.07,10-11-2023,Direct,d872f72e-e5b4-41ae-bb41-c943ebd8a3b1
Jason Beck,Sokoto,Monitor,54,25264.49,1364282.46,06-07-2025,Retail,bf7655d7-f97c-4c3c-b55d-814b5f5ba255
Katie Mcneil,Borno,Monitor,41,99715.55,4088337.55,14-07-2024,Retail,0ff1c51f-915c-431b-9786-7b1213281726
Jeanette Harrison,Delta,Phone,98,293210.1,28734589.8,15-07-2024,Online,21761930-f6d7-4248-a995-ecc36f5b09a6
Evelyn Williams,abuja,Charger,3,275786.09,827358.27,19-02-2024,Direct,3bcdf203-459e-4674-b3e7-f042516c3b0a
Julie Dominguez,Cross River,Monitor,59,270431.25,15955443.75,17-02-2024,Retail,1be5a4c3-95af-4d0c-8528-5425c7a9f33c
Judith Carter,Kano,Laptop,46,170251.85,7831585.1,25-08-2023,Wholesale,1ee89a4c-6811-44e2-9064-7c59774f6354
Monica Miller,Lagos,Laptop,47,5189.6,243911.2,01-05-2025,Retail,4c80d33a-ad5b-43c8-8c88-0714837217e0
Lawrence Harrington,Rivers,Monitor,16,254908.01,4078528.16,05-07-2025,Direct,15839b99-a50a-43dc-b004-e897a15b2e18
Mr. Justin Green III,Sokoto,KEYBOARD,65,206948.51,13451653.15,02-12-2023,Online,ec93e596-2b01-4723-8cf6-97a57603c36c
Zachary Mitchell,Ekiti,Monitor,6,23989.09,143934.54,07-07-2025,Wholesale,b9744cde-d259-4960-aee3-560792ea1324
